,name,city,phone,yelp_rating,yelp_review_count,website_name,google_rating,google_review_count,angieslist_rating,angieslist_review_count,birdeye_rating,birdeye_review_count,facebook_rating,facebook_review_count,houzz_rating,houzz_review_count,yellowpages_rating,yellowpages_review_count,homeadvisor_rating,homeadvisor_review_count,com_rating,com_review_count,indeed_rating,indeed_review_count,northerntreeservices_rating,northerntreeservices_review_count
0,Louisville Tree Service,Louisville,+15025158199,4.5,13,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Tree Care Inc,Louisville,+15023263661,2.5,9,http://www.treecarelouisville.com/,4.5,129.0,3.6,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Lopez Tree Service,Louisville,+15023140327,4.5,8,https://lopeztreeservicelouisville.com/,4.7,49.0,0.0,0.0,4.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Greenscapes Lawn and Landscaping,Louisville,+15029688018,2.5,6,not claimed on google,0.0,0.0,3.8,24.0,3.5,35.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Zeppa's Lawn Service,Crestwood,+15026484885,3.5,5,http://www.zeppas.com/,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Grasshoppers Landscaping & Tree,Louisville,+15022666312,2.5,5,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Abundant Tree Care Services,Louisville,+15022971578,4.0,4,https://abundanttree.com/,4.8,127.0,4.8,227.0,0.0,0.0,4.8,10.0,0.0,0.0,0.0,0.0,4.9,27.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ArborTECH Tree Removal & Preservation,Louisville,+15027274535,5.0,3,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Shults Tree Service,Louisville,+15022720005,3.5,3,http://www.shultstreeservice.com/,4.4,14.0,4.7,14.0,5.0,10.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Greenway Landscape Services,Louisville,+15025152473,3.5,3,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,4.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
10,Climb-Ax Tree & Crane Service,Louisville,+15028074004,3.0,2,http://www.louisvilletreeservice.com/,4.6,28.0,0.0,0.0,4.7,42.0,4.5,21.0,0.0,0.0,0.0,0.0,4.6,58.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Family Tree Service,Louisville,+15023213221,5.0,1,http://www.familytreecareservices.com/,3.9,8.0,4.7,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,50.0,0.0,0.0
12,Rapson's Tree Service,Louisville,+15025836950,5.0,1,not claimed on google,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Scearce Lawncare,Louisville,+15023779430,5.0,1,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Tree Contractors,Prospect,+15026393572,5.0,1,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,15.0
15,Blazing Sun Outdoor Solutions,Depauw,+18127360724,2.0,1,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
