,name,city,phone,yelp_rating,yelp_review_count,facebook_rating,facebook_review_count,homeadvisor_rating,homeadvisor_review_count,website_name,google_rating,google_review_count,angieslist_rating,angieslist_review_count,birdeye_rating,birdeye_review_count,womply_rating,womply_review_count,giftly_rating,giftly_review_count,yellowpages_rating,yellowpages_review_count,reviewstars_rating,reviewstars_review_count
0,Tarzan Tree Removal,Brooklyn,+13478335862,4.0,39,5.0,15.0,5.0,4.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Dank Tree Experts,Massapequa,+16312540059,3.5,29,5.0,3.0,5.0,4.0,http://danktreeservice.com/,3.7,48.0,4.4,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,JRs Tree Service,Queens,+17187233025,4.5,24,5.0,19.0,0.0,0.0,http://www.jrtreecare.com/,4.7,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Almstead Tree & Shrub Care Co,New Rochelle,+19145760193,2.5,16,0.0,0.0,4.5,23.0,http://almstead.com/,3.2,17.0,4.4,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,G & R Tree Service,Staten Island,+17188157897,3.0,13,0.0,0.0,0.0,0.0,http://www.sitreeremoval.com/,4.6,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Arborpolitan Tree and Garden Care,Brooklyn,+18336928733,4.5,11,5.0,6.0,0.0,0.0,http://www.arborpolitan.com/,5.0,4.0,4.7,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Alternative Earthcare,Bay Shore,+16319409050,3.5,11,4.8,13.0,4.4,79.0,http://www.alternativeearthcare.com/,4.8,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Woody Tree Service,Glen Cove,+15164937517,5.0,9,5.0,2.0,0.0,0.0,https://woodytreeserviceli.com/,4.7,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Family Tree Service,Staten Island,+17186982725,4.0,8,4.5,19.0,0.0,0.0,http://www.familytreeserviceinc.com/,3.6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Danny DP,Port Washington,+15168838953,4.0,8,4.2,3.0,0.0,0.0,http://treeserviceportwashington.com/,4.3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Able Tree Care,Manhattan,+13472455106,5.0,7,5.0,2.0,0.0,0.0,https://abletree-care.com/,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Green-A-Lawn,Hillsdale,+12016661333,1.0,7,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.3,6.0,3.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Tarzan Tree Removal,Staten Island,+13478335862,4.5,6,5.0,15.0,5.0,4.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,CR Tree Service,Roosevelt,+15164399723,5.0,6,4.0,4.0,5.0,2.0,http://crtreeservice.com/,3.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Dom's Tree Service,Port Washington,+15169446497,2.5,6,0.0,0.0,0.0,0.0,not claimed on google,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Urban Arborists,Brooklyn,+17185220612,2.5,6,5.0,1.0,0.0,0.0,http://www.urbanarb.com/,4.7,3.0,4.6,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Tree Health,Hicksville,+15167816464,4.5,5,0.0,0.0,0.0,0.0,http://www.treehealth.com/,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Greencare Tree Service,Queens,+17183324900,4.0,4,0.0,0.0,0.0,0.0,http://www.greencaretreeservice.com/,4.3,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,NYC Tree Trimming & Removal,New York,+12128821379,4.0,4,4.7,3.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,AllState Tree & Shrub,Hempstead,+15165644326,5.0,4,0.0,0.0,0.0,0.0,https://www.allstatetrees.com/,5.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,G & E Landscaping,Port Jefferson Station,+16316825774,3.0,4,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Holly Expert Tree Care Service,Staten Island,+17183566156,5.0,3,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Harder Tree & Landscape Service,Hempstead,+15164818800,2.0,3,0.0,0.0,0.0,0.0,http://www.harderservicesinc.com/,4.0,14.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
23,New York Garden Design & Landscape,Woodside,+16312767101,2.5,3,0.0,0.0,0.0,0.0,http://www.nygardendesignlandscape.com/,3.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"North Eastern Tree, Shrub and Lawn Care",Yonkers,+18884398733,1.5,3,5.0,5.0,4.6,18.0,https://northeasterntreecare.com/,5.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Emerald Tree Care,Scarsdale,+19147250441,4.0,3,5.0,2.0,0.0,0.0,https://www.emeraldtreecare.com/,4.3,27.0,4.9,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Morales Brothers Tree Service,Fairview,+19736198873,5.0,2,0.0,0.0,5.0,2.0,http://www.moralesbrotherstreeservicellc.com/,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
27,Double Tree Trimming & Removal,New York,+18559797475,2.5,2,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Allstate Tree & Shrub,Baldwin,+15163224584,3.5,2,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,91.0
29,Arborman Tree Service & Stump Removal,River Vale,+12014440676,3.0,2,0.0,0.0,0.0,0.0,http://stumpremovalco.com/,4.6,11.0,4.7,10.0,4.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
