,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,buildzoom_rating,buildzoom_review_count,fixr_rating,fixr_review_count,website_name,homeadvisor_rating,homeadvisor_review_count,angieslist_rating,angieslist_review_count,facebook_rating,facebook_review_count,com_rating,com_review_count,birdeye_rating,birdeye_review_count,checkbook_rating,checkbook_review_count,houzz_rating,houzz_review_count,giftly_rating,giftly_review_count
0,Firefighter Tree Service,Redwood City,+16504540373,5.0,215,4.8,16.0,1.0,3.0,3.0,2.0,http://www.treeservicesinredwoodcity.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Julian Tree Care,Walnut Creek,+19252182200,5.0,211,4.9,14.0,0.0,0.0,0.0,0.0,http://www.juliantreecare.com/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"J.T.S Tree Expert, Inc",Fremont,+18448228677,4.5,199,3.0,2.0,0.0,0.0,0.0,0.0,http://www.alamotreeservicecompany.com/,4.8,148.0,4.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Garcia Professional Tree Service,Oakland,+15109150201,4.5,175,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Kevin's Gardening Service,Oakland,+15102619662,4.5,156,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,JV Gardening & Landscaping,Oakland,+15105639709,5.0,144,5.0,1.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Vega's Tree Services,Oakland,+15107981188,5.0,138,4.2,5.0,0.0,0.0,0.0,0.0,http://vegastreeservices.com/,0.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,CAL TREE CARE,Hayward,+15107863955,5.0,133,4.2,11.0,5.0,1.0,0.0,0.0,http://caltreecare.com/,4.9,70.0,5.0,9.0,0.0,0.0,0.0,0.0,4.9,72.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Ponderosa Tree Service,Berkeley,+15108453644,4.5,109,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.8,85.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,0.0,0.0,0.0,0.0
9,Traverso Tree Service,Martinez,+19259307901,4.5,99,4.8,13.0,0.0,0.0,0.0,0.0,http://www.traversotree.com/,0.0,0.0,4.9,140.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,195.0,0.0,0.0,0.0,0.0
10,Martinez Landscaping & Gardening,Fremont,+15107786985,4.5,102,4.5,2.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Castillo Tree Service,Hayward,+15107926590,5.0,88,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,4.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Romans Tree Service, Inc.",Orinda,+18885766267,4.5,86,5.0,1.0,0.0,0.0,0.0,0.0,http://www.romanstree.com/,0.0,0.0,4.7,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ArborTech Tree Care & Landscape Services,Hayward,+15108818733,4.5,67,3.8,6.0,0.0,0.0,0.0,0.0,http://www.arbortech1.net/,0.0,0.0,0.0,0.0,4.4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Best Quality Lawn & Gardening Services,Oakland,+15105616099,4.5,65,5.0,3.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Willy's Tree Service,Berkeley,+19254975354,4.5,49,4.9,7.0,0.0,0.0,0.0,0.0,http://www.willytree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Elite Tree Service,Oakland,+15105239399,4.5,55,4.6,7.0,0.0,0.0,0.0,0.0,https://www.elitetreeinc.com/,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,4.5,55.0,0.0,0.0,0.0,0.0
17,Trees Company,San Francisco,+14157860464,5.0,53,4.2,5.0,0.0,0.0,0.0,0.0,http://www.treescompany.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Andres' Garden Services,Oakland,+14154108643,4.5,50,3.0,1.0,0.0,0.0,0.0,0.0,http://andreslawncare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Sequoia Tree Service,Oakland,+15103957338,4.5,47,4.8,8.0,0.0,0.0,0.0,0.0,http://www.sequoiatreeservice.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Complete Tree Care,Berkeley,+15108831748,4.5,47,4.2,6.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,62.0,0.0,0.0,0.0,0.0
21,New Life Tree Service,Pittsburg,+19252526389,4.5,46,4.1,9.0,0.0,0.0,0.0,0.0,http://www.newlifetreeservices.com/,4.7,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,P & J Tree Services,Walnut Creek,+19252501603,5.0,44,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,A Plus Tree,Pleasant Hill,+18668152525,4.0,43,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,4.8,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Skyline Tree Experts,Alamo,+19259499037,4.5,39,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,4.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Jenson's Tree Services,Oakland,+15106331227,4.5,38,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0
26,Green Lane Tree Service,Pittsburg,+19257052100,5.0,37,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.9,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Skyview Tree Service,Santa Clara,+14082244616,4.5,34,0.0,0.0,5.0,1.0,0.0,0.0,not claimed on google,4.7,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,The Davey Tree Expert Company,San Ramon,+19258559974,2.5,33,3.3,7.0,0.0,0.0,0.0,0.0,http://www.davey.com/local-offices/east-bay-tree-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,The Professional Tree Care Company,Berkeley,+15105493954,3.5,30,3.7,6.0,0.0,0.0,0.0,0.0,http://www.professionaltreecare.com/,0.0,0.0,4.8,6.0,4.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Juan's Landscaping & Tree Service,Concord,+19255959137,4.5,29,4.3,9.0,0.0,0.0,0.0,0.0,not claimed on google,4.8,229.0,0.0,0.0,0.0,0.0,4.6,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Graham Tree Service,San Leandro,+15103839585,4.0,28,3.8,4.0,0.0,0.0,0.0,0.0,http://www.grahamtreesvc.com/,0.0,0.0,4.4,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Maples For All Seasons,Pleasanton,+19255963345,3.5,24,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Arborland Tree Service,Walnut Creek,+19253499660,5.0,22,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Oakland Hills Brush Clearing,Oakland,+15103399991,5.0,21,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Robert S Cruikshank Landscape Contractor,Berkeley,+15104868282,4.5,20,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
