,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,angieslist_rating,angieslist_review_count,website_name,facebook_rating,facebook_review_count,birdeye_rating,birdeye_review_count,homeadvisor_rating,homeadvisor_review_count,yellowpages_rating,yellowpages_review_count,com_rating,com_review_count,dexknows_rating,dexknows_review_count,networx_rating,networx_review_count,cmac_rating,cmac_review_count
0,North Raleigh Tree Service,Wake Forest,+19198082467,4.5,22,4.9,54.0,4.7,54.0,https://www.northraleightree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fairway Green Lawn Care,Raleigh,+19193290095,3.0,19,0.0,0.0,4.5,120.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Youngs Tree Tech,Raleigh,+19194200404,4.0,17,4.4,42.0,4.7,101.0,http://www.youngstreetech.com/,5.0,15.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Amigo Tree Service Removal Stump Grinding Cary NC,Cary,+19194549234,5.0,16,5.0,39.0,0.0,0.0,http://www.amigotreeservicesnc.com/,4.8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Arbormax Tree Service,Raleigh,+19194126790,4.5,15,4.9,148.0,0.0,0.0,http://www.arbormaxtree.com/,4.7,21.0,0.0,0.0,4.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A+ Tree and Crane Services,Raleigh,+19198540020,4.0,12,4.7,111.0,0.0,0.0,http://www.aplustrees.com/,4.8,18.0,0.0,0.0,4.7,171.0,4.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Linebergers Tree Service,Raleigh,+19198340055,4.0,10,4.7,25.0,4.9,68.0,http://www.linebergertree.com/,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Castro Tree Service,Apex,+19192642635,4.0,9,5.0,7.0,0.0,0.0,not claimed on google,5.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Everett Tree Service,Raleigh,+19192716108,4.5,7,4.9,62.0,4.9,260.0,https://everetttreeservice.com/,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CS Tree Services,Apex,+19193558299,5.0,7,5.0,49.0,4.8,275.0,https://www.cstreeservices.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Cary Tree Removal,Cary,+19194549514,5.0,6,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Black Bear Tree Service,Clayton,+19194126811,3.5,6,4.9,42.0,0.0,0.0,http://blackbeartreeservice.com/,0.0,0.0,4.9,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Clean Air Lawn Care,Durham,+13362618066,4.0,6,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Brown's Tree Service,Raleigh,+19198456222,5.0,5,5.0,172.0,0.0,0.0,https://www.brownstreeserviceofraleigh.com/,5.0,4.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Ashland Tree Service,Raleigh,+19197206550,3.5,5,4.4,79.0,0.0,0.0,https://treeserviceraleigh.org/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Turf & Scapes,Youngsville,+19195549414,4.5,5,0.0,0.0,3.1,4.0,not claimed on google,0.0,0.0,0.0,0.0,4.5,112.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0
16,Molina's Tree Service And Landscaping,Raleigh,+19195764222,3.5,4,4.2,29.0,4.9,17.0,http://www.molinastreeservice.net/,3.9,16.0,0.0,0.0,4.6,139.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
17,Dixie Tree Service,Raleigh,+19196324684,4.0,4,5.0,28.0,4.6,22.0,https://dixietreeservicenc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Dreamscapes,Raleigh,+19198682198,5.0,3,5.0,95.0,0.0,0.0,https://www.triangledreamscapes.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Guzman Brothers Tree Services,Raleigh,+19038844736,5.0,3,5.0,6.0,0.0,0.0,http://www.guzmanbrothers.com/,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Jackson's Tree Service,Raleigh,+19198325212,4.0,3,4.1,14.0,4.9,70.0,https://www.jacksonstreeandstump.com/,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Blackhawk Tree,Cary,+19194691340,3.5,3,0.0,0.0,4.9,32.0,not claimed on google,5.0,15.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Henry's Tree Service,Knightdale,+19195329141,5.0,3,5.0,49.0,0.0,0.0,http://www.henrystreeservice.com/,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Max Tractor Service,Durham,+19196988236,5.0,3,5.0,9.0,5.0,13.0,http://www.maxtractorservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Beard's Tree Service,Wake Forest,+19196256802,3.5,3,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Best Natural Haven,Clayton,+14043451445,5.0,3,5.0,2.0,0.0,0.0,https://bestnaturalhavenll.wix.com/oasis,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Lawn Doctor of North Raleigh,Raleigh,+19842328596,3.5,3,4.8,37.0,0.0,0.0,https://www.lawndoctor.com/raleigh-nc/?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo,5.0,3.0,0.0,0.0,4.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Cardona's Tree Services,Raleigh,+19195392009,5.0,2,4.4,13.0,5.0,1.0,http://www.cardonastreeservice.com/,5.0,10.0,0.0,0.0,5.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Raleigh Stump Grinding,Raleigh,+19194389026,5.0,2,0.0,0.0,0.0,0.0,not claimed on google,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Parrish Tree Service,Butner,+19196691124,5.0,2,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
30,Kenny's Tree Removal,Willow Spring,+19196308728,3.0,2,4.8,155.0,5.0,3.0,http://kennystreeremoval.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
