,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,houzz_rating,houzz_review_count,website_name,birdeye_rating,birdeye_review_count,com_rating,com_review_count,homeadvisor_rating,homeadvisor_review_count,lawndoctor_rating,lawndoctor_review_count,thumbtack_rating,thumbtack_review_count,yellowpages_rating,yellowpages_review_count
0,Second Nature Landscaping & Guaranteed Greener Grass,Virginia Beach,+17574302911,4.5,14,4.7,60.0,4.5,12.0,4.7,225.0,4.3,6.0,http://www.weknowgrass.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Mike's Tree Service,Virginia Beach,+17576729273,4.0,12,4.7,46.0,0.0,0.0,5.0,5.0,0.0,0.0,http://mikestreevb.com/,4.8,48.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Dreamlawns,Virginia Beach,+17576319773,3.5,11,4.8,116.0,0.0,0.0,4.5,63.0,0.0,0.0,http://www.dreamlawnsvb.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A Top To Bottom Tree & Lawn Service,Virginia Beach,+17572329197,4.0,9,4.6,44.0,0.0,0.0,4.5,15.0,0.0,0.0,http://tree-trimming-virginia-beach.com/,0.0,0.0,0.0,0.0,4.8,103.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Putman Tree Service,Virginia Beach,+17575753737,2.5,7,4.4,39.0,4.1,9.0,0.0,0.0,0.0,0.0,http://www.putmantree.com/,0.0,0.0,0.0,0.0,4.9,306.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DeForest Tree Service,Virginia Beach,+17575531864,5.0,6,4.5,46.0,5.0,2.0,4.5,5.0,0.0,0.0,http://www.deforesttreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lawn Doctor of Virginia Beach,Virginia Beach,+17574364965,2.0,6,4.7,68.0,3.8,8.0,0.0,0.0,0.0,0.0,https://www.lawndoctor.com/virginiabeach-va/?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo,0.0,0.0,0.0,0.0,0.0,0.0,4.9,30.0,0.0,0.0,0.0,0.0
7,Mason's Tree Services,Virginia Beach,+17579683633,2.5,5,4.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,http://masonstreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Deep Creek Earthworks,Virginia Beach,+17572718908,2.5,5,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Celtic Services VB LLC Treecare & Landscaping,Virginia Beach,+17576184378,5.0,4,4.9,17.0,5.0,5.0,0.0,0.0,0.0,0.0,http://www.celtictreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,The Whole 9 Tree Service,Chesapeake,+17573765019,5.0,3,4.8,53.0,0.0,0.0,0.0,0.0,0.0,0.0,http://whole9treeservice.com/,4.9,66.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Tree Works llc,Virginia Beach,+17572015662,2.5,3,4.6,25.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.treeworksllc.org/,0.0,0.0,0.0,0.0,4.9,19.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Advance Tree Care Corporation,Virginia Beach,+17572025538,3.5,3,4.2,28.0,0.0,0.0,3.3,3.0,0.0,0.0,https://www.virginiabeachtreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Virginia Tree Experts,Virginia Beach,+17572885839,2.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Absolute Tree Surgeon,Virginia Beach,+17577351128,5.0,2,4.9,37.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/AbsoluteTreeSurgeons/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,116.0,0.0,0.0
15,Beach Tree & Stump,Virginia Beach,+17576463085,5.0,2,4.9,12.0,0.0,0.0,4.4,14.0,0.0,0.0,https://www.beachtreeandstumpva.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Bobcat Tree Service,Virginia Beach,+17575758440,1.0,2,5.0,17.0,5.0,4.0,0.0,0.0,0.0,0.0,https://www.virginiabeachtreeremovalservices.com/,4.6,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
