,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,homeadvisor_rating,homeadvisor_review_count,angieslist_rating,angieslist_review_count,facebook_rating,facebook_review_count,website_name,indeed_rating,indeed_review_count,birdeye_rating,birdeye_review_count,com_rating,com_review_count,thumbtack_rating,thumbtack_review_count
0,Complete Tree Service,Charleston,+18438144545,5.0,15,5.0,36.0,5.0,15.0,4.7,279.0,5.0,3.0,http://www.completetreeservicechas.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Pleasant Landscapes,Awendaw,+18438869314,1.5,9,3.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.pleasantlandscapes.com/?utm_source=GMB&utm_medium=LOCAL&utm_campaign=ORGANIC,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Palmetto Tree Service,Mount Pleasant,+18433450579,4.5,4,4.4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,http://palmettotreeservice.org/,0.0,0.0,4.4,18.0,0.0,0.0,0.0,0.0
3,Davis Tree,Charleston,+18437477971,4.0,4,4.3,22.0,0.0,0.0,4.7,43.0,0.0,0.0,http://www.davistreecompany.com/,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
4,Arborscape Tree Preservation,Goose Creek,+18435710233,2.0,4,4.3,24.0,0.0,0.0,2.7,9.0,0.0,0.0,http://www.arborscape1.com/,0.0,0.0,4.4,25.0,0.0,0.0,4.5,32.0
5,The Tree Expert,Charleston,+18435663707,5.0,3,4.9,90.0,0.0,0.0,5.0,10.0,5.0,4.0,http://www.thetreeexpertllc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A To Z Tree Service,Hanahan,+18434524521,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
7,Schneider Tree Care,North Charleston,+18433005200,3.5,3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.schneidertree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Monster Tree Service of Charleston,Mount Pleasant,+18435075426,5.0,3,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Al's Stump Grinding & Root Clearing,Goose Creek,+18435323165,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Charleston Stump Stompers & Tree Service,Mount Pleasant,+18438816141,3.5,3,4.8,32.0,0.0,0.0,4.7,85.0,0.0,0.0,http://www.charlestonstumpstompers.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Prestige Landscaping,Goose Creek,+18435729370,2.5,3,4.2,5.0,0.0,0.0,4.4,78.0,0.0,0.0,http://www.plscape.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Murray Tree Care,Charleston,+18432249578,5.0,2,5.0,8.0,0.0,0.0,5.0,9.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Absolute Trees,Awendaw,+18438104525,5.0,2,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Canopy Tree Care,Charleston,+18435769766,5.0,1,4.9,35.0,0.0,0.0,0.0,0.0,5.0,10.0,http://www.charlestontrees.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Low Country Stump Removal,Charleston,+18432836737,5.0,1,5.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,https://sites.google.com/view/lowcountrystumpremoval/home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Atlantic Tree & Stump,Awendaw,+18433434631,5.0,1,4.9,70.0,0.0,0.0,0.0,0.0,5.0,10.0,https://atlantic-tree-stump-llc.business.site/?utm_source=gmb&utm_medium=referral,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0
17,Tree Men,Mount Pleasant,+18437274115,5.0,1,4.9,25.0,0.0,0.0,4.0,22.0,0.0,0.0,https://www.treemen.org/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
