,name,city,phone,yelp_rating,yelp_review_count,website_name,google_rating,google_review_count,facebook_rating,facebook_review_count,birdeye_rating,birdeye_review_count,yellowpages_rating,yellowpages_review_count,angieslist_rating,angieslist_review_count,glassdoor_rating,glassdoor_review_count
0,Wichita Tree Service,Wichita,+13166168321,5.0,6,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Moore's Tree Service,Wichita,+13164092940,3.5,3,not claimed on google,3.4,24.0,4.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alfred's Superior Tree Service,Wichita,+13163134806,2.0,3,not claimed on google,3.2,34.0,3.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Brady Nursery,Wichita,+13167227516,3.5,3,http://bradynursery.com/,4.7,56.0,4.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,American Tree Specialist,Wichita,+13166830077,5.0,2,http://americantreewichita.com/,5.0,2.0,0.0,0.0,5.0,4.0,4.8,6.0,4.0,2.0,0.0,0.0
5,Complete Tree Care & Landscaping,Wichita,+13165596786,3.0,2,http://wichitatreelandscaping.com/,4.7,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Curtis Thompson's Tree Service,Wichita,+13162628724,5.0,1,not claimed on google,0.0,0.0,4.0,2.0,4.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Klean Kut,Haysville,+13165247100,5.0,1,http://www.kleankutinc.com/,3.8,18.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Marc 's Tree Service,Wichita,+13164694613,1.0,1,https://marcstreewichita.com/,3.9,47.0,4.0,21.0,4.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Countryside Lawn & Tree Care,Wichita,+13168383375,1.0,1,https://www.countrysideinc.com/,4.5,29.0,4.3,26.0,0.0,0.0,0.0,0.0,4.2,22.0,3.0,1.0
