,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,com_rating,com_review_count,website_name,homeadvisor_rating,homeadvisor_review_count,rateabiz_rating,rateabiz_review_count,guildquality_rating,guildquality_review_count,glassdoor_rating,glassdoor_review_count,birdeye_rating,birdeye_review_count,bestpickreports_rating,bestpickreports_review_count,thumbtack_rating,thumbtack_review_count,indeed_rating,indeed_review_count,arborcompany_rating,arborcompany_review_count,manta_rating,manta_review_count,customerlobby_rating,customerlobby_review_count,networx_rating,networx_review_count,thinkgreenlawnservice_rating,thinkgreenlawnservice_review_count
0,Atlanta Arbor Tree Care Specialist,+17707656555,5.0,60,4.9,114.0,5.0,12.0,4.8,34.0,5.0,5.0,http://www.atlantaarbor.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AAA Tree Experts,+16784886942,5.0,47,0.0,0.0,4.8,18.0,0.0,0.0,0.0,0.0,not claimed on google,4.9,95.0,5.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Northside Tree Professionals,+17703940905,4.5,35,4.9,312.0,0.0,0.0,4.9,469.0,0.0,0.0,http://www.northsidetreeprofessionals.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Gunnison Tree Specialists,+14043518929,3.5,35,4.7,179.0,4.6,28.0,0.0,0.0,0.0,0.0,https://gunnisontree.com/,0.0,0.0,0.0,0.0,4.8,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Atlanta Tree Allstars,+14042179231,5.0,26,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,404 Cut Tree,+14042888733,4.0,26,4.7,170.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.savatree.com/georgia-tree-service-lawn-care.html,0.0,0.0,0.0,0.0,5.0,197.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Steve's Tree Service & Landscape,+17704745565,4.0,24,4.1,9.0,5.0,3.0,4.7,47.0,0.0,0.0,not claimed on google,4.8,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Boutte Tree,+14047995472,4.0,23,4.9,273.0,4.4,25.0,4.8,208.0,0.0,0.0,http://www.bouttetree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AKA Tree Service,+14706452885,4.5,21,4.7,138.0,4.8,57.0,4.7,14.0,5.0,337.0,https://www.akatreeremoval.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tomahawk Tree Service,+17706400003,2.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,JJ's Landscape and Tree Service,+16785985360,4.0,17,4.3,6.0,5.0,6.0,5.0,8.0,0.0,0.0,http://www.jjslandscapeandtrees.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Redfern Tree & Stump Service,+17705180633,4.5,17,4.5,64.0,5.0,3.0,5.0,96.0,0.0,0.0,https://redferntree.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=Google%20My%20Business%20Marietta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,89.0,4.8,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,TurfPride,+17705907200,1.5,17,4.5,122.0,0.0,0.0,4.5,71.0,0.0,0.0,https://www.turfpride.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,136.0,0.0,0.0,4.5,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,TreeJob,+17708733562,4.0,16,0.0,0.0,4.7,32.0,2.7,19.0,0.0,0.0,not claimed on google,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,134.0,0.0,0.0,0.0,0.0,3.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ArborForce Tree Services,+14045091076,4.5,16,4.9,317.0,5.0,31.0,4.9,130.0,0.0,0.0,http://www.arborforcetreeservices.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Don's Tree Service,+17704138733,2.5,15,3.1,35.0,3.3,5.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3-G Trees,+16784576023,5.0,15,4.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.3-gtrees.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Crabapple,+17707409739,1.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Whitfield Tree Service,+16786249159,3.0,14,0.0,0.0,4.5,8.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Hernandez Tree Services,+16784381464,3.5,12,4.4,65.0,0.0,0.0,3.3,3.0,0.0,0.0,http://hernandeztreeatl.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tree Cowboy,+14044238733,5.0,12,4.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.treecowboy.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Jeremiah's Landscape Services,+14049858038,4.0,11,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,https://jeremiahslandscapeservices.com/,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Appalachian Tree Service,+14044099926,5.0,12,5.0,14.0,4.9,20.0,0.0,0.0,0.0,0.0,http://www.appalachiantreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,770 Arborist Emergency Tree & Crane Service,+17702726747,5.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
