,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,birdeye_rating,birdeye_review_count,website_name,angieslist_rating,angieslist_review_count,homeadvisor_rating,homeadvisor_review_count,facebook_rating,facebook_review_count,com_rating,com_review_count,topratedlocal_rating,topratedlocal_review_count,manta_rating,manta_review_count,thumbtack_rating,thumbtack_review_count,indeed_rating,indeed_review_count
0,Spaulding Tree Service,Charlotte,+17043108493,4.5,30,3.4,17.0,3.4,15.0,https://spauldingtreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Top Turf Lawn Care and Pest Management,Charlotte,+17045972121,2.0,21,4.4,177.0,4.4,191.0,http://www.topturf.net/,3.7,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Mark's Stump Grinding,Charlotte,+17046610947,5.0,12,5.0,35.0,5.0,40.0,http://www.marksstumpgrindingnc.com/,4.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Alex's Tree Service,Charlotte,+17049956779,4.5,11,0.0,0.0,0.0,0.0,not claimed on google,4.9,190.0,4.8,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Tree Tech Tree Service,Mooresville,+17042751849,2.5,11,4.5,113.0,0.0,0.0,http://www.treetechnc.com/,4.7,10.0,0.0,0.0,4.7,9.0,4.9,326.0,4.5,388.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Heartwood Tree Service,Charlotte,+17045253066,4.0,10,4.5,107.0,0.0,0.0,http://www.heartwoodtree.com/,5.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,RDS Lawn Care Services,Mount Holly,+17048221625,4.0,8,4.2,44.0,0.0,0.0,http://www.rdslawncare.com/,4.2,18.0,0.0,0.0,4.3,20.0,5.0,1.0,0.0,0.0,4.7,10.0,0.0,0.0,0.0,0.0
7,AAA Tree Experts,Charlotte,+17043661134,5.0,6,4.6,56.0,0.0,0.0,http://www.aaatrees.net/,4.3,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Think Green Lawn Service,Monroe,+17046357404,3.0,5,3.6,36.0,0.0,0.0,https://www.thinkgreenlawnservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CSI Lawn Care Services,Charlotte,+17046203586,5.0,4,5.0,19.0,0.0,0.0,http://csilawncareservices.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Mr Martini's Tree Farm,Charlotte,+17045890435,3.0,4,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Hi Tree Service,Concord,+17042007532,5.0,4,5.0,30.0,0.0,0.0,http://hitreeservice.net/,5.0,56.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,KO Tree Services,Charlotte,+17046665210,1.0,4,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,3.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,KO Tree Services,Winston-Salem,+13362878136,2.0,4,3.4,30.0,0.0,0.0,http://www.treekos.com/,0.0,0.0,0.0,0.0,3.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alex's Lawnscape,Charlotte,+17047241940,5.0,3,4.9,36.0,0.0,0.0,http://www.alexslawnscape.com/,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,22.0,0.0,0.0
15,The Davey Tree Expert Company,Charlotte,+17045968065,3.5,3,4.7,87.0,0.0,0.0,https://www.davey.com/local-offices/charlotte-tree-service-and-lawn-service/,5.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Simple Stump,Charlotte,+19803199188,5.0,2,5.0,41.0,0.0,0.0,https://www.simplestump.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Boon Tree Service,Charlotte,+17045458784,5.0,3,4.2,5.0,0.0,0.0,http://www.boontreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
