,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,website_name,homeadvisor_rating,homeadvisor_review_count,giftly_rating,giftly_review_count,birdeye_rating,birdeye_review_count,thumbtack_rating,thumbtack_review_count,checkbook_rating,checkbook_review_count,topratedlocal_rating,topratedlocal_review_count,glassdoor_rating,glassdoor_review_count,rateabiz_rating,rateabiz_review_count,com_rating,com_review_count,yourgreenpal_rating,yourgreenpal_review_count,houzz_rating,houzz_review_count,manta_rating,manta_review_count,customerlobby_rating,customerlobby_review_count,bestpickreports_rating,bestpickreports_review_count,justdial_rating,justdial_review_count
0,County Tree Service,+17084844808,5.0,151,4.9,42.0,4.6,9.0,4.7,69.0,http://www.county-tree-service.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A-1 Tree Service,+17732370344,5.0,97,4.7,11.0,0.0,0.0,4.9,340.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Jose's Tree Service,+17738895446,4.5,63,4.5,29.0,4.6,14.0,5.0,181.0,http://www.josestreeservices.com/,4.8,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,U S Tree Service,+16307050144,4.5,57,0.0,0.0,4.8,16.0,5.0,41.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Giovanni's Tree Service,+17737778911,5.0,56,4.5,2.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ackerman Tree Specialists,+18476376446,4.5,44,5.0,1.0,0.0,0.0,0.0,0.0,http://ackermantreespecialists.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Arborgreen Tree Service,+18476894000,4.5,36,4.5,31.0,0.0,0.0,5.0,8.0,http://arborgreentreeservice.com/,4.7,70.0,0.0,0.0,4.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Progressive Tree Service,+18475301533,4.5,34,4.9,41.0,0.0,0.0,4.7,71.0,https://progressivetree.com/,4.8,16.0,0.0,0.0,0.0,0.0,4.6,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Meca Tree Service,+17738035144,4.5,32,4.2,11.0,0.0,0.0,0.0,0.0,http://www.mecatree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Smitty's Tree Service,+17083852814,4.0,30,4.2,103.0,4.8,23.0,4.5,88.0,http://www.smittystreeservice.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Advanced Tree Care,+18475878500,4.5,26,0.0,0.0,4.7,14.0,5.0,18.0,not claimed on google,0.0,0.0,0.0,0.0,4.8,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Sinnott Tree Service,+17085795300,4.5,25,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Christy Webber Landscapes,+17735330477,2.5,24,3.9,43.0,4.5,55.0,0.0,0.0,http://www.christywebber.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,L & P Tree Service,+17733178180,5.0,23,0.0,0.0,0.0,0.0,3.7,2.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Mario's Tree Service,+16306249894,4.5,21,0.0,0.0,0.0,0.0,4.9,11.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,JBS Professional Tree Care,+18478123174,5.0,20,5.0,13.0,0.0,0.0,5.0,6.0,http://www.algonquiniltreecareservices.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Davis Tree Care,+17087718500,4.5,20,0.0,0.0,4.8,10.0,4.6,88.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,SavATree - The Tree and Shrub Care Company,+18477291963,3.0,20,4.8,28.0,0.0,0.0,0.0,0.0,http://www.savatree.com/tree-service-northbrook-il.html,5.0,4.0,0.0,0.0,4.8,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,The Davey Tree Expert Company,+13124927206,3.5,18,4.5,62.0,0.0,0.0,4.7,234.0,https://www.davey.com/local-offices/chicago-tree-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Bruce Lawn Service,+17082430571,3.5,18,4.4,5.0,5.0,1.0,4.0,5.0,http://www.brucelawns.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Turf Care Enterprises - Barrington,+18473044144,4.0,17,0.0,0.0,4.8,27.0,4.7,166.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Nels J Johnson Tree Experts, Inc.",+18474751877,2.5,16,4.0,4.0,0.0,0.0,0.0,0.0,http://nelsjohnsontree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Absolute Tree Solutions,+18478905813,5.0,15,5.0,61.0,5.0,34.0,0.0,0.0,https://absolutetreesolutions.com/,0.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,The Davey Tree Expert Company,+16303237220,3.0,15,4.6,25.0,0.0,0.0,0.0,0.0,https://www.davey.com/local-offices/south-chicago-tree-and-lawn-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Kramer Tree Specialists,+16302935444,3.5,14,4.4,37.0,4.9,15.0,4.7,117.0,http://www.kramertree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,The Mulch Center,+18474597200,5.0,13,0.0,0.0,5.0,8.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Lawn-Tech,+17085327411,3.0,13,4.2,23.0,0.0,0.0,4.7,62.0,http://www.lawntechltd.com/,0.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,The Davey Tree Expert Company,+18475374340,3.5,12,4.4,28.0,0.0,0.0,4.7,349.0,https://www.davey.com/local-offices/northeast-chicago-tree-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Tree's R Us,+18479139069,3.0,12,3.9,7.0,4.8,19.0,4.5,19.0,http://www.treesrusinc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Gabriel's Landscape & Tree Services,+18473580297,4.0,11,4.0,6.0,4.6,8.0,5.0,9.0,http://www.gabrielsinc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
