,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,houzz_rating,houzz_review_count,thumbtack_rating,thumbtack_review_count,website_name,glassdoor_rating,glassdoor_review_count,homeadvisor_rating,homeadvisor_review_count,birdeye_rating,birdeye_review_count,networx_rating,networx_review_count,customerlobby_rating,customerlobby_review_count,com_rating,com_review_count,lawndoctor_rating,lawndoctor_review_count
0,Charter Oaks Tree & Landscaping,Westerville,+16148486466,4.0,11,4.6,115.0,4.7,11.0,4.8,529.0,5.0,2.0,4.8,15.0,http://www.charteroakscompany.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,The Davey Tree Expert Company,Columbus,+16144714144,5.0,8,3.8,39.0,0.0,0.0,4.7,944.0,0.0,0.0,0.0,0.0,https://www.davey.com/local-offices/columbus-tree-service-and-lawn-service/,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Whole Tree Care by Trapper's Tree Service,Upper Arlington,+16145278733,4.0,7,4.9,95.0,4.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.wholetreecareohio.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Reyes Tree Service,Columbus,+16143136353,4.5,6,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.2,5.0,not claimed on google,0.0,0.0,4.8,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Excellent Arborist Tree Company,Columbus,+16142766546,5.0,4,5.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.excellentarborist.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Columbus Tree Services,Columbus,+16143607294,5.0,4,0.0,0.0,4.9,17.0,4.7,19.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Eddie's Tree Service,Columbus,+16144090531,4.0,4,4.0,13.0,4.4,6.0,5.0,59.0,0.0,0.0,0.0,0.0,http://www.eddiestreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Joseph Tree Service,Dublin,+16143138138,5.0,3,0.0,0.0,4.7,8.0,4.9,189.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,4.8,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Flawless Landscaping and Tree Service,Columbus,+16144024807,2.5,3,3.8,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.flawlesslandscaping.com/,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
9,All City Stump Grinding,Columbus,+16143539495,5.0,2,5.0,58.0,0.0,0.0,4.9,242.0,0.0,0.0,0.0,0.0,https://allcitystumpgrinding.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Turf Ohio,Dublin,+16143893595,3.0,2,4.3,12.0,5.0,3.0,3.9,7.0,0.0,0.0,0.0,0.0,https://www.turfohio.com/?utm_source=gmb&utm_medium=organic&utm_campaign=turf_ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
11,Junk Fellas,Columbus,+16148439985,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
12,Bartlett Tree Experts,Columbus,+16142397558,5.0,1,4.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.bartlett.com/locations/Columbus-OH.cfm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Lawn Doctor - Columbus,Columbus,+16147711589,5.0,1,4.7,69.0,5.0,5.0,4.5,139.0,0.0,0.0,0.0,0.0,https://www.lawndoctor.com/westerville-oh/?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo,0.0,0.0,4.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0
14,Tuff Green Lawn Care Solutions,Columbus,+16144399976,4.0,1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.tuffgreenlawn.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Family Tree Services,Columbus,+16147331221,2.0,1,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Buckeye Stumps,Powell,+16145375296,5.0,1,4.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.buckeyestumps.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
