,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,indeed_rating,indeed_review_count,website_name,giftly_rating,giftly_review_count,houzz_rating,houzz_review_count,com_rating,com_review_count,thumbtack_rating,thumbtack_review_count,glassdoor_rating,glassdoor_review_count,bestpickreports_rating,bestpickreports_review_count,homeadvisor_rating,homeadvisor_review_count,lawnstarter_rating,lawnstarter_review_count,birdeye_rating,birdeye_review_count,buildzoom_rating,buildzoom_review_count,verifiedlocalpros_rating,verifiedlocalpros_review_count
0,Dr. Green,+18004652934,1.5,97,4.0,344.0,3.9,18.0,3.7,42.0,2.8,16.0,https://doctorgreen.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Chippers Tree Service,+19727439959,5.0,81,5.0,97.0,5.0,14.0,5.0,75.0,0.0,0.0,http://www.chipperstreeservice.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Castro's Tree Service,+12147251171,5.0,79,0.0,0.0,5.0,7.0,5.0,336.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Rich Property Maintenance,+12144779764,5.0,51,4.7,15.0,5.0,13.0,0.0,0.0,0.0,0.0,http://www.richpropertymaintenance.com/,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Texas Tree Surgeons,+14693876000,4.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Keane Landscaping & North Texas Trees,+19724244851,3.0,39,0.0,0.0,0.0,0.0,3.1,12.0,0.0,0.0,not claimed on google,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Parker Tree Service,+12143942414,4.0,33,4.7,175.0,4.7,8.0,0.0,0.0,0.0,0.0,http://www.parkertreeservice.biz/,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Polo Landscapes,+12144139896,4.5,31,3.7,3.0,3.7,3.0,0.0,0.0,0.0,0.0,https://pololandscapes.com/,0.0,0.0,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,H Tree service,+14693438266,5.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Rudy's Tree Service,+12148158728,5.0,24,3.4,5.0,0.0,0.0,5.0,4.0,0.0,0.0,http://www.rudystreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,4.9,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Lindsey Tree Service,+12145530707,3.0,23,4.7,23.0,5.0,4.0,4.7,36.0,0.0,0.0,http://www.lindseytreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,MowPros,+12146697767,3.5,23,1.9,8.0,5.0,1.0,0.0,0.0,0.0,0.0,http://mowpros.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
