,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,angieslist_rating,angieslist_review_count,glassdoor_rating,glassdoor_review_count,website_name,facebook_rating,facebook_review_count,homeadvisor_rating,homeadvisor_review_count,com_rating,com_review_count,customerlobby_rating,customerlobby_review_count,houzz_rating,houzz_review_count,buildzoom_rating,buildzoom_review_count,birdeye_rating,birdeye_review_count,giftly_rating,giftly_review_count,thumbtack_rating,thumbtack_review_count,networx_rating,networx_review_count
0,Swingle Lawn Tree & Landscape Care,Denver,+13033376200,3.0,144,4.2,280.0,5.0,251.0,3.4,13.0,https://www.savatree.com/denver-colorado-tree-service-lawn-care.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fielding Tree & Shrub Care,Littleton,+13036675004,4.5,71,4.4,36.0,4.6,8.0,0.0,0.0,http://www.fieldingtreeandshrubcare.com/,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Artistic Tree Care,Denver,+13039008366,5.0,68,4.6,19.0,5.0,1.0,0.0,0.0,http://www.artistictreecaredenver.com/,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Vega's Tree Service,Denver,+13037420278,4.5,66,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,4.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Fit Turf of South Denver,Centennial,+13032216900,2.5,60,4.0,127.0,3.1,18.0,0.0,0.0,https://www.fitturf.com/,0.0,0.0,4.2,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Limb Walkers Tree Service,Denver,+17202985477,4.0,49,5.0,4.0,0.0,0.0,0.0,0.0,https://limbwalkerstreeservice.net/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Rushton Tree Service,Denver,+13037399000,3.5,49,3.7,21.0,3.9,22.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Alpine Tree & Shrub Care,Denver,+13036907135,4.0,47,4.5,17.0,4.7,334.0,0.0,0.0,http://www.thedenvertreeservices.com/,0.0,0.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ArborScape,Englewood,+13038068733,4.0,43,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.6,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Enlightenment Tree Service,Denver,+13037319793,5.0,41,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Environmental Tree Care,Denver,+13033688454,3.5,35,0.0,0.0,4.0,9.0,0.0,0.0,not claimed on google,5.0,7.0,4.5,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Organo-Lawn of Boulder,Boulder,+13034992000,4.0,32,4.9,87.0,0.0,0.0,0.0,0.0,https://www.organolawn.com/?utm_source=LOCAL-BOULDER&utm_medium=ORGANIC&utm_campaign=GMB,4.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AAA Emergency Tree Service,Denver,+13036236851,4.5,27,4.9,151.0,0.0,0.0,0.0,0.0,http://aaaemergencytreeservice.com/,0.0,0.0,0.0,0.0,5.0,28.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Wild Irishman Tree and Landscape,Denver,+13032331302,3.0,24,4.0,42.0,0.0,0.0,0.0,0.0,http://denverlandscapedesign.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Sanctuary Tree and Garden Care,Denver,+13039101663,4.5,21,4.1,14.0,5.0,5.0,0.0,0.0,http://www.sanctuarytree.com/,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Tree Pros,Denver,+13037913740,4.0,20,4.6,19.0,4.7,344.0,0.0,0.0,http://www.denvertree.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,The Davey Tree Expert Company,Denver,+13037509273,3.0,19,4.5,20.0,5.0,107.0,0.0,0.0,https://www.davey.com/local-offices/east-denver-tree-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,J & J Tree Care,Denver,+13037530029,3.5,18,4.2,17.0,5.0,89.0,0.0,0.0,http://www.jandjtreecare.com/,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Bailey Tree,Lakewood,+17209406519,4.5,16,4.6,27.0,0.0,0.0,0.0,0.0,https://www.trimmingdenver.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,The Natural Way,Englewood,+13033470988,3.0,16,4.3,32.0,0.0,0.0,0.0,0.0,https://www.treeserviceenglewoodco.com/,4.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,DLC Arbor Services,Denver,+13033788000,3.5,15,4.2,6.0,4.7,558.0,0.0,0.0,http://www.dlcarbor.com/,4.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Leaf & Stone Landscaping,Arvada,+13035965726,3.5,14,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Schulhoff Tree & Lawn Care,Golden,+13032791910,3.0,14,0.0,0.0,4.4,25.0,0.0,0.0,not claimed on google,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Matt's Maintenance Tree Service,Parker,+13033325747,4.5,13,4.9,88.0,0.0,0.0,0.0,0.0,https://www.mattsmaintenancetreeservice.com/,4.8,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Sunshade Tree Care LLC.,Lakewood,+13034722266,5.0,12,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0
25,Stump Removal & Daughter,Aurora,+13032466891,4.5,12,4.2,16.0,0.0,0.0,0.0,0.0,http://www.stumpremovalanddaughter.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,The Davey Tree Expert Company,Broomfield,+13034492525,3.0,12,3.6,16.0,5.0,83.0,0.0,0.0,https://www.davey.com/local-offices/boulder-tree-service-and-lawn-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Arbor-Pro Tree Experts,Lakewood,+13039350005,3.5,11,3.6,36.0,4.0,22.0,0.0,0.0,https://www.arborprotree.com/,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,45.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Preservation Tree Care,Englewood,+13037611088,5.0,11,4.9,30.0,0.0,0.0,0.0,0.0,http://preservationtreecare.net/,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,47.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Bear Creek Tree Service,Englewood,+17202991409,3.5,11,4.8,78.0,0.0,0.0,0.0,0.0,http://www.bearcreektreeservice.com/,5.0,12.0,4.5,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,96.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Arbortec Tree Service,Broomfield,+13034663175,4.0,11,4.8,108.0,5.0,12.0,0.0,0.0,https://arbortectree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Royal Tree,Aurora,+13034370525,4.5,11,5.0,55.0,5.0,34.0,0.0,0.0,http://www.royaltreeco.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Mile High Tree Care,Arvada,+13032929393,3.0,11,3.9,36.0,4.8,32.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Above And Beyond Services,Denver,+13038737378,4.0,10,3.8,10.0,0.0,0.0,0.0,0.0,http://www.aboveandbeyondservicesco.com/,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,82.0,5.0,1.0
34,A Touch of Class Tree Service,Denver,+13032748431,1.5,10,4.2,44.0,0.0,0.0,0.0,0.0,https://www.atouchofclasstreeservice.com/?utm_source=GMBlisting&utm_medium=organic,4.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,A Stump Man Tree and Stump Service,Denver,+13039817979,5.0,9,4.9,24.0,0.0,0.0,0.0,0.0,http://www.astumpman.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Real Mountain Tree Service,Denver,+17202714196,4.0,9,5.0,1.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Denver Tree and Landscape,Lakewood,+17207087777,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Prins Pruning & Tree Care,Black Hawk,+13036537967,5.0,8,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,GE Tree Service,Englewood,+13035002017,4.5,8,3.7,26.0,0.0,0.0,0.0,0.0,https://www.getreeserviceenglewood.com/,5.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,26.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Richis Tree Service,Centennial,+17209875606,4.5,8,4.5,34.0,0.0,0.0,0.0,0.0,https://richistreeservice.co/,0.0,0.0,4.6,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Absolute Tree Care,Littleton,+17202135957,4.5,8,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,5.0,8.0,4.9,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Ironwood Earthcare,Aurora,+13033663020,3.5,8,4.2,15.0,0.0,0.0,0.0,0.0,https://www.ironwoodearthcare.com/,4.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,28.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Man VS Treez,Aurora,+17194598913,5.0,7,5.0,29.0,0.0,0.0,0.0,0.0,https://manvstreez.com/,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,A Family Tree Service,Denver,+13034241222,3.5,7,4.3,18.0,3.8,11.0,0.0,0.0,https://denvertreeservices.com/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,10.0,0.0,0.0
45,Arbor Roots,Denver,+13039314639,4.5,7,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Flatirons Stump Removal,Westminster,+13035780822,5.0,7,5.0,31.0,5.0,4.0,0.0,0.0,http://www.flatironsstumpremoval.com/,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Great Western Tree Care,Castle Rock,+17205358769,5.0,7,5.0,23.0,0.0,0.0,0.0,0.0,http://greatwesterntreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
