,name,phone,yelp_rating,yelp_review_count,homeadvisor_rating,homeadvisor_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,houzz_rating,houzz_review_count,website_name,google_rating,google_review_count,birdeye_rating,birdeye_review_count,com_rating,com_review_count,customerlobby_rating,customerlobby_review_count,manta_rating,manta_review_count,thumbtack_rating,thumbtack_review_count,rateabiz_rating,rateabiz_review_count,giftly_rating,giftly_review_count,glassdoor_rating,glassdoor_review_count,indeed_rating,indeed_review_count,bestpickreports_rating,bestpickreports_review_count
0,Garcia Professional Tree Service,+12816607362,4.5,99,4.8,328.0,5.0,13.0,4.5,22.0,1.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Gilbert's Tree Service,+17138621287,4.0,47,0.0,0.0,0.0,0.0,5.0,136.0,0.0,0.0,http://www.gilbertstreeandlawnservice.com/,4.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Houston Tree Team,+18323720101,4.5,46,0.0,0.0,4.8,21.0,4.7,21.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PLS Landscaping,+18324335863,3.5,38,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,http://www.plslandscapingservices.com/,3.3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RF Tree Service,+17132695892,5.0,34,0.0,0.0,5.0,10.0,0.0,0.0,5.0,1.0,https://rftreeservice.business.site/?utm_source=gmb&utm_medium=referral,4.9,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Lakewood Trees,+18328886060,5.0,30,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Texas Tree Team,+18329811942,4.5,28,0.0,0.0,4.8,21.0,4.7,454.0,0.0,0.0,https://texastreeteam.com/,4.6,62.0,4.6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jones Road Tree Service,+12814690458,3.5,27,0.0,0.0,4.6,72.0,0.0,0.0,3.0,2.0,https://www.jonesroadtreeservice.com/,4.7,318.0,0.0,0.0,4.9,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Houston Tree Service,+17139669595,3.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,JJ Garcia Professional Tree Service,+17132949047,5.0,3,4.8,28.0,0.0,0.0,0.0,0.0,0.0,0.0,http://jjgarciaprofessionaltreeservice.com/,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Houston Tree Surgeons,+12818159088,4.5,21,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,https://www.houstontreesurgeons.com/,4.3,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Highpoint Tree Care,+18328793373,4.5,18,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,http://bit.ly/30ummxh,4.7,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
