,name,city,phone,yelp_rating,yelp_review_count,thumbtack_rating,thumbtack_review_count,angieslist_rating,angieslist_review_count,website_name,google_rating,google_review_count,facebook_rating,facebook_review_count,customerlobby_rating,customerlobby_review_count,homeadvisor_rating,homeadvisor_review_count,indeed_rating,indeed_review_count
0,A-Alpha Tree Company,Kansas City,+19139440831,4.0,26,4.7,26.0,4.4,12.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Kansas City Tree Care,Kansas City,+19138944767,2.5,12,0.0,0.0,0.0,0.0,http://www.kctreecaresiteks.com/,3.1,24.0,4.4,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2,K.C. Arborist Tree Care,Shawnee,+19133900033,2.5,12,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SK Lawn Care,Kansas City,+18163724965,3.5,11,0.0,0.0,5.0,4.0,http://sklawncarekc.com/,4.9,33.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Grade-A Tree Care,Kansas City,+18167794468,4.0,10,0.0,0.0,0.0,0.0,http://gradeatree.com/,4.3,16.0,4.8,54.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Dooley Brothers Tree,Kansas City,+18165179971,3.5,8,0.0,0.0,0.0,0.0,http://dooleybrotherstree.com/,4.7,106.0,4.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Ryan Lawn & Tree,Riverside,+18162461707,4.5,7,0.0,0.0,5.0,10.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Cartwright Tree Care,Grandview,+18169656758,4.5,5,0.0,0.0,4.3,48.0,http://www.cartwrighttree.com/,4.4,37.0,4.2,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Glorioso Tree Service,Kansas City,+18162317275,4.0,5,0.0,0.0,5.0,13.0,not claimed on google,0.0,0.0,4.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Forest Keepers Tree Care,Lawrence,+17854304343,5.0,5,0.0,0.0,0.0,0.0,https://www.forestkeepers.com/,4.8,71.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Jennings Tree & Lawn Care,Kansas City,+18169313399,2.5,5,0.0,0.0,5.0,7.0,http://www.jtlc.net/,3.0,2.0,5.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0
11,Jason's Tree Service,Raytown,+18162176244,4.0,5,0.0,0.0,0.0,0.0,https://www.jasonstree.com/,4.6,22.0,4.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Training Trees,Kansas City,+18165695446,5.0,4,4.9,151.0,0.0,0.0,http://trainingtrees.biz/,4.8,55.0,0.0,0.0,0.0,0.0,5.0,64.0,0.0,0.0
13,Eli's Tree Service Company,Kansas City,+18166867583,4.0,4,0.0,0.0,5.0,7.0,http://www.elistreeservicecompany.com/,4.7,73.0,4.9,13.0,0.0,0.0,4.8,150.0,0.0,0.0
14,The Lawn & Sprinkler Guys,Parkville,+18167417101,3.0,4,0.0,0.0,4.6,739.0,https://www.thelawnandsprinklerguys.com/,4.8,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Tlc Lawn Care,Olathe,+19137805296,3.0,4,0.0,0.0,3.6,43.0,http://tlclawncareinc.com/,3.1,29.0,3.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Bly's Tree Service,Edwardsville,+19132623710,3.5,3,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Hendrickson Tree Care,Kansas City,+18165231181,3.5,3,0.0,0.0,5.0,62.0,http://www.hendricksontreecare.com/,4.6,23.0,4.6,15.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Moore's Affordable Tree Trimming & Removal,Kansas City,+18166061131,3.5,3,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0
19,The Davey Tree Expert Company,Olathe,+19134518733,5.0,2,0.0,0.0,4.6,40.0,https://www.davey.com/local-offices/kansas-city-tree-service/,4.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Main Street Tree Care,Kansas City,+18166038733,5.0,2,0.0,0.0,4.8,22.0,not claimed on google,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Clark Tree Service,Kansas City,+18168850923,3.0,2,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,4.7,18.0,0.0,0.0,4.9,35.0,4.0,2.0
22,KC Finest Construction & Tree Service,Gladstone,+18169859154,2.5,2,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
