,name,phone,yelp_rating,yelp_review_count,website_name,homeadvisor_rating,homeadvisor_review_count,birdeye_rating,birdeye_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,manta_rating,manta_review_count,angieslist_rating,angieslist_review_count,buildzoom_rating,buildzoom_review_count,giftly_rating,giftly_review_count,houzz_rating,houzz_review_count,glassdoor_rating,glassdoor_review_count,hirerush_rating,hirerush_review_count,com_rating,com_review_count,thumbtack_rating,thumbtack_review_count,networx_rating,networx_review_count
0,Torres Tree Service,+18887401762,4.0,414,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Jimmie's Tree Service,+15624236202,4.5,401,not claimed on google,4.7,34.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Your Way Tree Service,+18188822335,5.0,326,https://yourwaytreeserviceinc.com/,0.0,0.0,0.0,0.0,4.8,36.0,4.8,19.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,One Day Tree & Landscape,+18007169336,4.5,292,http://www.onedaytreeservice.com/,0.0,0.0,0.0,0.0,4.1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Inexpensive Tree Services,+13238337002,5.0,272,https://inexpensivetreeservice.com/,0.0,0.0,0.0,0.0,4.2,15.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Affordable Tree Care,+18773108733,4.5,251,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,121.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Natural Wonders Trees,+18184308133,5.0,245,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Aper's Tree Service,+18182321177,5.0,232,http://www.aperstreeservice.com/#cid=glbc,0.0,0.0,0.0,0.0,4.4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Golden State Tree Service,+16262618356,5.0,208,not claimed on google,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Finley's Tree & Landcare,+13103269818,4.5,201,http://www.finleystreeandlandcare.com/,0.0,0.0,0.0,0.0,4.3,24.0,4.4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Millan Tree Service, Inc",+18186746387,5.0,188,http://millantreesvc.com/,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Solano's Tree Service & Landscaping,+13236059766,4.5,169,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
