,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,indeed_rating,indeed_review_count,website_name,angieslist_rating,angieslist_review_count,birdeye_rating,birdeye_review_count,houzz_rating,houzz_review_count,homeadvisor_rating,homeadvisor_review_count,manta_rating,manta_review_count,com_rating,com_review_count,glassdoor_rating,glassdoor_review_count,thumbtack_rating,thumbtack_review_count
0,Hoppe Tree Service,West Allis,+14142572111,3.5,16,4.8,100.0,4.8,55.0,4.0,6.0,http://www.hoppetreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Rodriguez Landscaping,Milwaukee,+14143833300,4.0,9,4.2,23.0,4.8,2.0,0.0,0.0,http://www.rodriguezlandscapecompany.com/,4.7,551.0,4.2,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Hawks Landscape,Wauwatosa,+14142585525,3.5,7,3.2,16.0,0.0,0.0,0.0,0.0,http://www.hawkslandscape.com/,4.1,108.0,0.0,0.0,4.9,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Dennis & Son Tree Service,Milwaukee,+14143835663,5.0,6,4.1,7.0,0.0,0.0,0.0,0.0,http://www.dandstreeservice.com/,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Best Choice Landscaping,Wauwatosa,+14148977922,3.5,6,4.3,22.0,5.0,11.0,0.0,0.0,http://www.bestchoicelandscaping.com/?utm_source=local&utm_medium=organic%20&utm_campaign=gmb,5.0,130.0,4.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Darryl's Tree Service,Brookfield,+14147711447,5.0,4,5.0,3.0,0.0,0.0,0.0,0.0,http://www.darrylstreeservicewi.com/,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,M & M Tree Care,Milwaukee,+14143553420,4.0,4,4.3,27.0,4.5,8.0,0.0,0.0,https://mmtreecare.com/,4.8,168.0,0.0,0.0,0.0,0.0,4.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Branch Managers Tree Care,Milwaukee,+14146593860,5.0,4,4.8,55.0,0.0,0.0,0.0,0.0,https://branch-managers.com/,4.8,6.0,4.8,58.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Crawford Tree & Landscape Services,Milwaukee,+14143544639,5.0,3,4.4,19.0,5.0,10.0,0.0,0.0,http://www.crawfordtree.com/,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,18.0,0.0,0.0,0.0,0.0
9,Lauber Lawn and Tree Service,Dousman,+12623542923,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Turf & Tree Worx,West Bend,+12626752600,1.5,3,4.6,25.0,4.4,11.0,0.0,0.0,https://turfandtreeworx.com/,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Green Man Tree and Landscape Services,Waukesha,+14143019807,2.5,3,4.3,16.0,5.0,4.0,0.0,0.0,https://thegreenmancompany.com/,4.6,27.0,0.0,0.0,0.0,0.0,4.6,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Bienemann's Quality Tree Service,Burlington,+12625343777,3.5,3,4.6,11.0,5.0,8.0,0.0,0.0,https://bienemannsqualitytreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,WayBetter Landscaping & Snowplowing,Milwaukee,+14147953610,5.0,2,4.2,19.0,5.0,3.0,0.0,0.0,https://waybetterlandscapingsnowplowing.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,The Davey Tree Expert Company,New Berlin,+12625211860,5.0,2,3.9,9.0,0.0,0.0,0.0,0.0,https://www.davey.com/local-offices/milwaukee-tree-service/,4.8,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
15,Novotny Landscaping,West Allis,+12628946626,5.0,2,1.0,1.0,5.0,1.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,A Cut Above Tree Service and Landscaping,Brookfield,+12626410499,5.0,2,5.0,11.0,5.0,4.0,0.0,0.0,http://www.acutabovetreeservicewi.com/,4.9,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Grandpa Vern's ChristmasTrees,Milwaukee,+17154824471,4.5,2,4.3,7.0,4.9,24.0,0.0,0.0,http://grandpaverns.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Potter's Tree Service,New Berlin,+12627804800,5.0,2,3.9,11.0,0.0,0.0,0.0,0.0,http://www.potterstreeservicellc.com/,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
