,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,angieslist_rating,angieslist_review_count,homeadvisor_rating,homeadvisor_review_count,website_name,facebook_rating,facebook_review_count,thumbtack_rating,thumbtack_review_count,birdeye_rating,birdeye_review_count,manta_rating,manta_review_count,com_rating,com_review_count,houzz_rating,houzz_review_count,giftly_rating,giftly_review_count
0,Price Tree Care,Nashville,+16155969553,4.0,29,4.3,21.0,5.0,14.0,4.8,7.0,https://pricetreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Moore & Smith Tree Care,Nashville,+16158778733,5.0,18,4.8,110.0,0.0,0.0,0.0,0.0,https://mooresmithtrees.com/,4.8,19.0,4.9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Kaily's Tree Service,Nashville,+16154961542,5.0,13,4.7,43.0,0.0,0.0,0.0,0.0,http://www.kailystreeservice.com/,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Jones Tree Care,Nashville,+16152621134,4.5,12,4.9,8.0,0.0,0.0,0.0,0.0,http://www.jonestreecarenashville.com/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Quality Tree Surgery,Nashville,+16158336638,5.0,10,4.7,13.0,4.9,29.0,0.0,0.0,http://www.qualitytreesurgery.com/,0.0,0.0,0.0,0.0,4.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Arbor Art Tree Care,Nashville,+16152999999,4.0,8,4.5,26.0,0.0,0.0,0.0,0.0,http://arborart.net/,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Bryan Lawn Care,Nashville,+16154917427,2.5,8,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dandy Tree Service,Goodlettsville,+16154793584,1.5,8,2.9,23.0,0.0,0.0,4.0,57.0,https://dandytreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Karol's Tree Service,Nashville,+16157754497,4.0,7,4.0,8.0,0.0,0.0,4.7,211.0,http://karolstreeservice.com/,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Community Tree Preservation,Nashville,+16158322410,3.5,7,4.5,15.0,0.0,0.0,0.0,0.0,https://www.communitytreepreservation.com/,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Covenant Landscapes,Nashville,+16159242000,4.5,6,5.0,5.0,0.0,0.0,0.0,0.0,http://www.covenantlandscapes.com/,4.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,The Davey Tree Expert Company,Nashville,+16152548733,3.5,5,4.0,27.0,4.5,73.0,0.0,0.0,https://www.davey.com/local-offices/nashville-tree-service-and-lawn-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Danny's Tree Service,Nashville,+16156912077,3.0,4,4.5,22.0,5.0,10.0,0.0,0.0,https://dannys-tree-service.ueniweb.com/?utm_campaign=gmb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
