,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,homeadvisor_rating,homeadvisor_review_count,website_name,angieslist_rating,angieslist_review_count,manta_rating,manta_review_count,birdeye_rating,birdeye_review_count,giftly_rating,giftly_review_count
0,Tarzan Tree Removal,+13478335862,4.0,38,4.0,39.0,5.0,15.0,5.0,4.0,http://www.tarzantreeremoval.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Dank Tree Experts,+16312540059,3.5,29,3.7,48.0,3.7,3.0,5.0,4.0,http://danktreeservice.com/,4.4,32.0,3.0,1.0,3.8,52.0,0.0,0.0
2,JRs Tree Service,+17187233025,4.5,23,4.7,62.0,5.0,20.0,0.0,0.0,http://www.jrtreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Almstead Tree & Shrub Care Co,+19145760193,2.5,15,3.2,17.0,0.0,0.0,4.5,23.0,http://almstead.com/,4.4,88.0,0.0,0.0,0.0,0.0,0.0,0.0
4,G & R Tree Service,+17188157897,3.0,13,4.6,59.0,0.0,0.0,0.0,0.0,http://www.sitreeremoval.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Arborpolitan Tree and Garden Care,+18336928733,4.5,11,5.0,4.0,5.0,6.0,0.0,0.0,http://www.arborpolitan.com/,4.7,7.0,0.0,0.0,5.0,4.0,0.0,0.0
6,Alternative Earthcare,+16319409050,3.5,11,4.8,276.0,4.8,14.0,4.4,79.0,http://www.alternativeearthcare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Woody Tree Service,+15164937517,5.0,9,4.7,13.0,5.0,2.0,0.0,0.0,https://woodytreeserviceli.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Family Tree Service,+17186982725,4.0,8,3.6,16.0,4.5,20.0,0.0,0.0,http://www.familytreeserviceinc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Danny DP,+15168838953,4.0,8,0.0,0.0,4.2,3.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Able Tree Care,+13472455106,5.0,7,5.0,34.0,5.0,2.0,0.0,0.0,https://abletree-care.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Green-A-Lawn,+12016661333,1.0,7,3.1,9.0,0.0,0.0,0.0,0.0,https://www.green-a-lawn.com/,4.3,6.0,0.0,0.0,3.1,11.0,0.0,0.0
12,Tarzan Tree Removal,+13478335862,4.5,6,4.0,39.0,5.0,15.0,5.0,4.0,http://www.tarzantreeremoval.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,CR Tree Service,+15164399723,5.0,6,3.7,18.0,4.0,4.0,0.0,0.0,http://crtreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Dom's Tree Service,+15169446497,2.5,6,3.0,2.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Urban Arborists,+17185220612,2.5,6,4.7,3.0,5.0,1.0,0.0,0.0,http://www.urbanarb.com/,5.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Greencare Tree Service,+17183324900,4.0,4,4.3,24.0,0.0,0.0,0.0,0.0,http://www.greencaretreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,NYC Tree Trimming & Removal,+12128821379,4.0,4,4.7,19.0,4.7,3.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,AllState Tree & Shrub,+15165644326,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Tree Health,+15167816464,4.5,4,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20,G & E Landscaping,+16316825774,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
21,Holly Expert Tree Care Service,+17183566156,5.0,3,4.6,11.0,0.0,0.0,0.0,0.0,http://www.hollyexperttreecare.com/,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Harder Tree & Landscape Service,+15164818800,2.0,3,4.0,14.0,0.0,0.0,0.0,0.0,http://www.harderservicesinc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,New York Garden Design & Landscape,+16312767101,2.5,3,3.7,3.0,0.0,0.0,0.0,0.0,http://www.nygardendesignlandscape.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"North Eastern Tree, Shrub and Lawn Care",+18884398733,1.5,3,0.0,0.0,5.0,5.0,4.6,18.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0
25,Emerald Tree & Shrub Care Company,+19147250441,4.0,3,4.3,27.0,5.0,2.0,0.0,0.0,https://www.emeraldtreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Morales Brothers Tree Service,+19736198873,5.0,2,0.0,0.0,0.0,0.0,5.0,2.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Double Tree Trimming & Removal,+18559797475,2.5,2,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Allstate Tree & Shrub,+15163224584,3.5,2,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Arborman Tree Service & Stump Removal,+12014440676,3.0,2,4.6,11.0,0.0,0.0,0.0,0.0,http://stumpremovalco.com/,4.7,10.0,0.0,0.0,4.5,11.0,0.0,0.0
