,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,website_name,lawndoctor_rating,lawndoctor_review_count,homeadvisor_rating,homeadvisor_review_count,mylocalservices_rating,mylocalservices_review_count,com_rating,com_review_count
0,Salas Tree Service,Oklahoma City,+14052059763,5.0,9,4.9,153.0,4.9,54.0,4.9,117.0,http://www.salastreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Squared Away Lawns,Oklahoma City,+14056416249,2.5,6,4.5,43.0,4.8,16.0,0.0,0.0,http://www.squaredawaylawns.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Forest Tree Service,Oklahoma City,+14054306367,5.0,4,4.9,108.0,5.0,24.0,0.0,0.0,https://foresttreeservice.net/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=okc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Lawn Doctor of Edmond-OKC,Edmond,+14055092266,2.5,4,4.5,50.0,5.0,9.0,5.0,8.0,https://www.lawndoctor.com/edmond-ok/?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo,5.0,9.0,4.8,15.0,0.0,0.0,0.0,0.0
4,Ideal Elements,Oklahoma City,+14058638242,5.0,3,0.0,0.0,4.9,11.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Acenitec Pest & Lawn Services,Oklahoma City,+14059426321,2.5,3,4.5,31.0,4.3,21.0,4.5,27.0,http://www.acenitec.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Arbor Image Tree Care,Oklahoma City,+14058157959,5.0,2,5.0,3.0,5.0,8.0,5.0,6.0,http://thearborimage.com/,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
7,Big Tree Transplanting,Oklahoma City,+14058436425,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
8,Above All Tree Trimming,Oklahoma City,+14059682000,5.0,1,5.0,1.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Trees Company 360,Midwest City,+14053945642,5.0,1,5.0,13.0,0.0,0.0,0.0,0.0,https://treescompany360.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Turf Team Outdoor Management,Oklahoma City,+14054789990,1.0,1,5.0,1.0,4.3,18.0,0.0,0.0,http://theteamok.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
