,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,homeadvisor_rating,homeadvisor_review_count,angieslist_rating,angieslist_review_count,glassdoor_rating,glassdoor_review_count,website_name,checkbook_rating,checkbook_review_count,birdeye_rating,birdeye_review_count,com_rating,com_review_count,giftly_rating,giftly_review_count,lehighvalleylive_rating,lehighvalleylive_review_count
0,Green Lawn Fertilizing,West Chester,+14847530520,3.0,72,4.2,386.0,3.9,80.0,4.4,196.0,4.3,546.0,5.0,18.0,http://www.greenlawnfertilizing.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Grace Tree Company,Philadelphia,+12672521197,5.0,26,4.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.gracetreeco.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Kingkiner Tree Service,Lafayette Hill,+12155087553,3.5,22,3.9,37.0,0.0,0.0,0.0,0.0,4.0,79.0,0.0,0.0,http://kingkinertreeservice.com/,0.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,CPL Landscaping & Tree,Springfield,+14844331788,4.0,18,4.4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://cpllandscapeandtree.com/,0.0,0.0,4.4,20.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Executive Branch Tree Service,Elkins Park,+12153016255,5.0,17,4.9,96.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.goexecutivebranch.com/,0.0,0.0,0.0,0.0,5.0,156.0,5.0,15.0,0.0,0.0
5,Bob Koch 215-Cut-Tree,Philadelphia,+12152888733,5.0,12,4.8,48.0,0.0,0.0,0.0,0.0,4.8,14.0,0.0,0.0,http://www.215cuttree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"McFarland Tree, Landscape & Hardscape Services",Philadelphia,+12158448733,4.0,12,4.0,29.0,0.0,0.0,0.0,0.0,4.5,68.0,0.0,0.0,http://www.mcfarlandtree.com/,0.0,0.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mercado's Landscaping Hardscaping & Tree Service,Philadelphia,+12157645509,4.0,10,4.1,34.0,0.0,0.0,4.8,66.0,0.0,0.0,0.0,0.0,http://www.mercadoslandscaping.com/,0.0,0.0,4.9,87.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Shechtman Tree Care,Abington,+12157768733,4.5,10,4.6,10.0,4.9,14.0,0.0,0.0,4.9,86.0,0.0,0.0,http://www.shektree.com/,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Bartlett Tree Experts,Bala Cynwyd,+16106643200,4.5,8,4.7,15.0,4.4,7.0,0.0,0.0,4.4,67.0,0.0,0.0,https://www.bartlett.com/locations/Bala-Cynwyd-PA.cfm,0.5,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
