,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,website_name,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,homeadvisor_rating,homeadvisor_review_count,glassdoor_rating,glassdoor_review_count,thumbtack_rating,thumbtack_review_count,com_rating,com_review_count,birdeye_rating,birdeye_review_count,indeed_rating,indeed_review_count,rateabiz_rating,rateabiz_review_count,houzz_rating,houzz_review_count
0,Arbor Care Tree Service,+14807975566,5.0,215,4.9,57.0,https://www.arborcareaz.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Heartwood Tree Care,+14802695636,5.0,199,4.9,90.0,http://heartwoodtreeaz.com/,5.0,20.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Tree Pros,+16238733776,3.5,129,4.4,208.0,http://www.treeprosaz.com/,0.0,0.0,3.8,134.0,4.4,500.0,3.6,4.0,4.4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Chip off the old Block,+16022533200,4.0,104,4.3,37.0,https://alyourtreespal.business.site/,5.0,1.0,4.7,260.0,4.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Core Tree Service,+16026630788,4.5,89,4.9,34.0,http://www.coretreeservice.com/,5.0,10.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Hayward Tree Service,+16025079494,4.5,84,4.8,56.0,http://www.haywardtreeserviceaz.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Liberty Tree Experts,+14804829374,5.0,72,0.0,0.0,not claimed on google,5.0,8.0,5.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Urban Landscape Solutions,+16023346435,4.0,69,5.0,11.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Treewise,+16024922432,4.5,66,4.9,14.0,http://treewiseaz.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Valle Verde Lawn Care,+16233263808,4.5,57,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,KO's Landscaping,+18134925296,4.0,57,5.0,5.0,http://www.koslawn.com/,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Green Valley Tree Specialists & Landscaping,+14802748693,4.5,52,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Harris & Sons Tree Specialists,+16028639336,4.0,52,4.9,87.0,http://www.harrisandsontreespecialists.com/,0.0,0.0,5.0,7.0,4.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Top Leaf Tree Service,+14809995335,4.5,48,0.0,0.0,not claimed on google,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Design Tree Maintenance,+16235878170,2.5,42,4.6,110.0,https://designtreeaz.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,0.0,0.0,4.1,219.0,4.4,643.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,77.0,3.8,4.0,0.0,0.0,0.0,0.0
