,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,website_name,urbanforestprofessionals_rating,urbanforestprofessionals_review_count,oregonlive_rating,oregonlive_review_count,angieslist_rating,angieslist_review_count,houzz_rating,houzz_review_count,homeadvisor_rating,homeadvisor_review_count,manta_rating,manta_review_count,birdeye_rating,birdeye_review_count,thumbtack_rating,thumbtack_review_count,com_rating,com_review_count,giftly_rating,giftly_review_count
0,J & F Tree Service Inc,Beaverton,+15037470625,4.5,71,4.9,55.0,5.0,9.0,https://www.jandftreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Urban Forest Pro,Portland,+15034798281,4.5,70,4.8,163.0,4.7,23.0,https://www.urbanforestprofessionals.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,5.0,427.0,4.5,2.0,4.4,427.0,4.8,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,All Around Arbor Tree Service,Portland,+15037303632,4.5,58,4.7,30.0,0.0,0.0,http://www.allaroundarbor.com/,0.0,0.0,0.0,0.0,4.5,36.0,0.0,0.0,4.8,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Bridgetown Tree Service,Portland,+18884238733,4.5,48,0.0,0.0,5.0,2.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Honl Tree Care,Portland,+15032000709,5.0,40,4.8,18.0,4.7,7.0,http://www.honltreecare.com/,0.0,0.0,0.0,0.0,4.9,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"AK Timber Services, LLC",Vancouver,+13606351076,4.0,40,4.6,85.0,4.7,12.0,https://aktimber.com/,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Evergreen Tree Services,Tigard,+15036254595,4.5,38,0.0,0.0,5.0,7.0,not claimed on google,0.0,0.0,0.0,0.0,4.6,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Northwest Tree Specialists,Hillsboro,+15036452242,4.5,38,0.0,0.0,5.0,8.0,not claimed on google,0.0,0.0,0.0,0.0,4.7,361.0,0.0,0.0,0.0,0.0,2.5,4.0,4.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Urban Timber Tree Service,Portland,+15034494066,5.0,37,4.6,14.0,5.0,12.0,http://www.urbantimbertree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Treehappy,Portland,+15037378835,4.5,35,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Northwest Arbor-Culture - Tree Services,Newberg,+15035388733,4.0,30,4.7,132.0,4.9,29.0,http://www.nwtree.com/,0.0,0.0,0.0,0.0,5.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Cascade Tree Works,Vancouver,+13607187108,4.5,29,4.8,78.0,4.9,29.0,https://cascadetreeworkswa.com/,0.0,0.0,0.0,0.0,5.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Monkeyman's Tree Service,Tualatin,+15033588754,4.5,28,4.7,50.0,0.0,0.0,http://www.monkeymans.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Wind Thin Tree Service,Portland,+15034814628,4.0,25,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,4.7,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
