,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,angieslist_rating,angieslist_review_count,com_rating,com_review_count,facebook_rating,facebook_review_count,website_name,thumbtack_rating,thumbtack_review_count,houzz_rating,houzz_review_count,homeadvisor_rating,homeadvisor_review_count,birdeye_rating,birdeye_review_count,networx_rating,networx_review_count,lawndoctor_rating,lawndoctor_review_count
0,Emerald Lawns,+15129902199,3.5,190,4.2,205.0,4.5,756.0,4.8,237.0,4.1,43.0,https://emeraldlawnsaustin.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,The Goat Lawn & Tree Services,+18338434628,4.5,27,4.4,13.0,0.0,0.0,0.0,0.0,5.0,12.0,https://www.thegoatlawnandtreeservices.com/,4.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,H.O.W. Foundation,+12103332100,4.0,25,4.7,48.0,0.0,0.0,0.0,0.0,0.0,0.0,http://howfoundationsa.org/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,The Real Stump Busters Tree Service,+12106533605,5.0,22,5.0,8.0,5.0,117.0,0.0,0.0,0.0,0.0,http://therealstumpbusters.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,San Antonio Tree Surgeons,+12106920550,4.0,19,4.5,54.0,0.0,0.0,0.0,0.0,3.0,4.0,https://sanantoniotreesurgeons.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Tree Service Of San Antonio,+12103417550,4.5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,U S Lawns - San Antonio,+12106268013,4.5,14,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://designbyolech.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Quality Tree Service,+12102913743,5.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1-Two-Tree Trimming,+12107768746,4.0,11,4.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.1twotreetrimming.com/,0.0,0.0,4.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Texas Hill Country Trees,+12103934251,5.0,8,4.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.texashillcountrytrees.com/,4.9,477.0,0.0,0.0,4.9,76.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Alamo City Arbor Care,+12105998733,5.0,8,5.0,56.0,0.0,0.0,0.0,0.0,5.0,1.0,http://www.alamocityarborcare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Trusted Tree Trimmers of Texas,+12107775323,4.5,7,0.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Teague's Tree Service,+12106584765,4.0,7,4.9,23.0,5.0,104.0,0.0,0.0,4.8,8.0,http://www.teaguestreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Tree Musketeers, LLC",+12106208899,4.5,6,4.8,23.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.treemusketeersllc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Boerjan'S Landscaping & Design,+12103108979,4.5,6,0.0,0.0,0.0,0.0,0.0,0.0,4.2,5.0,not claimed on google,5.0,3.0,0.0,0.0,4.7,39.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Texas Tree Service,+18309285152,5.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,5.0,65.0,0.0,0.0,0.0,0.0
16,The Grass Company,+12106227225,2.5,6,3.8,29.0,5.0,1.0,0.0,0.0,5.0,5.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Healthy Oak Trees,+12103170034,3.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Republic Tree Service,+12104808733,5.0,5,4.9,38.0,0.0,0.0,0.0,0.0,5.0,3.0,http://www.republictreeservice.com/,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,OCS Home Tree Services,+12108423634,4.0,5,5.0,11.0,0.0,0.0,0.0,0.0,5.0,5.0,https://ocs-tree-care.business.site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,B&B Tree Trimming,+12105455245,3.5,5,4.6,56.0,4.4,30.0,0.0,0.0,4.6,10.0,http://bbtreetrimming.com/,0.0,0.0,0.0,0.0,0.0,0.0,4.6,17.0,0.0,0.0,0.0,0.0
21,Artistic Trees,+12105610155,3.0,5,4.7,45.0,4.7,164.0,0.0,0.0,4.4,2.0,http://www.sanantoniotreecompany.com/,0.0,0.0,0.0,0.0,4.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Texas Tradition Landscaping,+12107233223,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,4.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3 Monkeys Tree Service,+18333666597,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,4.7,4.0,not claimed on google,4.9,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Heartwood Tree Service & Solutions,+12105852560,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,4.9,7.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Bexar Mowing,+12103859410,1.0,4,4.3,35.0,0.0,0.0,0.0,0.0,4.3,3.0,http://www.bexarmowing.com/,4.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,TSE Services,+18303880185,4.0,4,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0
27,Buchanan Tree Service,+12104782315,5.0,3,4.8,50.0,4.9,23.0,0.0,0.0,0.0,0.0,https://buchanantree.com/,0.0,0.0,0.0,0.0,4.8,115.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Yates Tree,+12103492977,5.0,3,5.0,19.0,5.0,16.0,0.0,0.0,4.9,8.0,https://yatestreeinc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,The Davey Tree Expert Company,+12106980515,3.5,3,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,The Davey Tree Expert Company,+12109812870,4.5,3,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,TORRES TREE SERVICE,+12103421807,3.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
