,name,phone,yelp_rating,yelp_review_count,trustlink_rating,trustlink_review_count,website_name,google_rating,google_review_count,homeadvisor_rating,homeadvisor_review_count,angieslist_rating,angieslist_review_count,buildzoom_rating,buildzoom_review_count,fixr_rating,fixr_review_count,facebook_rating,facebook_review_count,checkbook_rating,checkbook_review_count,thumbtack_rating,thumbtack_review_count,demandforce_rating,demandforce_review_count,glassdoor_rating,glassdoor_review_count,giftly_rating,giftly_review_count,com_rating,com_review_count
0,We Care Tree Care,+14089956128,5.0,289,1.0,2.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Majestic Tree Service,+16692169118,5.0,263,0.0,0.0,http://www.majestictreeservice.com/,4.8,4.0,4.8,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"EC Tree Service, Inc",+16507148894,5.0,246,0.0,0.0,http://ectreeservice.com/,4.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Firefighter Tree Service,+16504540373,5.0,214,0.0,0.0,http://www.treeservicesinredwoodcity.com/,4.8,16.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"J.T.S Tree Expert, Inc",+18448228677,4.5,199,0.0,0.0,not claimed on google,0.0,0.0,4.8,148.0,4.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,PV Tree Service,+14085690030,5.0,186,0.0,0.0,http://pvtree.business.site/,4.0,2.0,0.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,JV Gardening & Landscaping,+15105639709,5.0,143,0.0,0.0,https://jv-gardeninglandscaping-inc.business.site/?utm_source=googlemybusiness&utm_medium=referral,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,JC Tree Care & Landscape,+16509957254,5.0,126,0.0,0.0,http://jctreecarelandscape.com/,4.8,21.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Oscar's Expert Tree Service,+14083734696,5.0,116,0.0,0.0,http://www.oscarsexperttreeservice.com/,5.0,2.0,0.0,0.0,4.7,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,JC Tree Experts,+14088586123,5.0,114,0.0,0.0,not claimed on google,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
