,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,giftly_rating,giftly_review_count,website_name,birdeye_rating,birdeye_review_count,com_rating,com_review_count,thumbtack_rating,thumbtack_review_count,homeadvisor_rating,homeadvisor_review_count,checkbook_rating,checkbook_review_count,guildquality_rating,guildquality_review_count,customerlobby_rating,customerlobby_review_count,glassdoor_rating,glassdoor_review_count,houzz_rating,houzz_review_count,giftrocket_rating,giftrocket_review_count
0,Alvin's Landscaping,Tacoma,+12536779064,4.5,106,4.0,4.0,5.0,2.0,4.8,12.0,4.5,103.0,https://m.facebook.com/Alvins-Landscaping-LLC-1031033740287194/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Jose's Landscape & Maintenance,Bothell,+14252992654,4.0,92,3.9,26.0,4.5,4.0,4.1,32.0,0.0,0.0,http://www.joseslandscape.com/,3.7,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Vitalitree,Seattle,+12064987998,4.5,76,4.9,10.0,5.0,4.0,4.9,58.0,0.0,0.0,http://www.vitalitreellc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Matt's Tree Service,Issaquah,+14253698733,4.0,62,4.5,49.0,5.0,13.0,4.0,95.0,0.0,0.0,http://www.mattstreeservice.com/,0.0,0.0,5.0,76.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Ballard Tree Service,Seattle,+12067824847,3.0,59,4.0,29.0,0.0,0.0,4.6,157.0,0.0,0.0,http://www.ballardtree.com/,0.0,0.0,0.0,0.0,0.0,0.0,4.7,56.0,3.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Blooma Tree Experts,Seattle,+12067149835,3.5,57,4.4,77.0,4.1,11.0,0.0,0.0,0.0,0.0,https://www.bloomatree.com/,4.4,87.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Eastside Tree Works,Fall City,+12063969998,4.0,56,4.9,23.0,5.0,23.0,4.3,46.0,0.0,0.0,http://www.eastsidetreeworks.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,P'n'D Logging and Tree Service,Maple Valley,+14254327636,4.5,54,4.7,21.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.panddtreeservice.com/,4.8,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Emerald Tree Service,Seattle,+12067260668,4.5,50,4.4,15.0,0.0,0.0,5.0,125.0,0.0,0.0,https://www.tree-service-seattle.info/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Urban Arborist,Shoreline,+12069301427,4.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
