,name,city,phone,yelp_rating,yelp_review_count,homeadvisor_rating,homeadvisor_review_count,angieslist_rating,angieslist_review_count,facebook_rating,facebook_review_count,website_name,google_rating,google_review_count,checkbook_rating,checkbook_review_count,com_rating,com_review_count,giftly_rating,giftly_review_count,birdeye_rating,birdeye_review_count,thumbtack_rating,thumbtack_review_count,houzz_rating,houzz_review_count
0,JL Tree Services,Fairfax,+17033594444,4.5,68,4.6,30.0,4.7,207.0,5.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Shifflett Tree Service,Derwood,+13019485554,5.0,62,0.0,0.0,0.0,0.0,4.6,8.0,https://www.shiffletttreeservice.com/,4.3,19.0,4.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Adirondack Tree Experts,Beltsville,+13015952827,4.5,59,0.0,0.0,4.8,595.0,0.0,0.0,http://www.adirondacktreeexperts.com/,4.5,31.0,4.5,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Stringfellow's Tree Service,Amissville,+15402128659,4.5,34,0.0,0.0,0.0,0.0,0.0,0.0,http://www.stringfellowstreeservice.com/,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Premium Lawn and Landscape,Fairfax Station,+17032398000,2.5,33,4.4,192.0,4.2,256.0,0.0,0.0,http://premiumlawncare.com/,4.2,24.0,1.5,56.0,4.7,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Redline Outdoor Services,Amissville,+18044022792,4.5,29,0.0,0.0,0.0,0.0,5.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,4.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0
6,VM Drainage & Erosion Solutions,Manassas,+15713383077,4.0,27,0.0,0.0,4.6,155.0,5.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,24.0,0.0,0.0,0.0,0.0
7,Ax Tree Services,Falls Church,+17032968467,5.0,24,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Natural Edge,Burke,+15408278024,4.5,23,0.0,0.0,0.0,0.0,0.0,0.0,http://www.naturaledgeva.com/,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,57.0,0.0,0.0
9,DC Tree,"Washington, DC",+12022941570,5.0,22,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chapingo Tree Care Specialists,Frederick,+13016462516,5.0,21,0.0,0.0,4.9,75.0,4.9,9.0,http://www.chapingotreecare.com/,4.7,30.0,5.0,255.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Tim Corbin's Professional Services,Culpeper,+15405472761,4.5,18,0.0,0.0,0.0,0.0,5.0,13.0,http://www.timcorbinstreeservice.com/,4.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Tyson's Tree Service,Falls Church,+17038499188,4.0,15,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Out on A Limb Tree Service,Fairfax,+18669872288,4.5,13,0.0,0.0,0.0,0.0,5.0,10.0,http://www.vatree.com/,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
